game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401644749,8,regular,FALSE,TRUE,UB Stadium,Buffalo,Mid-American,41,Western Michigan,Mid-American,48,10/19/2024,18487
401644755,9,regular,FALSE,TRUE,Peden Stadium,Ohio,Mid-American,47,Buffalo,Mid-American,16,10/26/2024,16048
401644772,13,regular,FALSE,TRUE,Rynearson Stadium,Eastern Michigan,Mid-American,20,Buffalo,Mid-American,37,11/20/2024,12004
401644776,14,regular,FALSE,TRUE,UB Stadium,Buffalo,Mid-American,43,Kent State,Mid-American,7,11/26/2024,11916
401677108,1,postseason,TRUE,FALSE,Thomas A. Robinson National Stadium,Liberty,Conference USA,7,Buffalo,Mid-American,26,01/04/2025,4610
401644730,1,regular,FALSE,FALSE,Kelly/Shorts Stadium,Central Michigan,Mid-American,66,Central Connecticut,NEC,10,08/29/2024,18055
401640979,2,regular,TRUE,FALSE,Pitbull Stadium,Florida International,Conference USA,52,Central Michigan,Mid-American,16,09/07/2024,17852
401628475,3,regular,FALSE,FALSE,"Memorial Stadium (Champaign, IL)",Illinois,Big Ten,30,Central Michigan,Mid-American,9,09/14/2024,51498
401643721,5,regular,FALSE,FALSE,Kelly/Shorts Stadium,Central Michigan,Mid-American,22,San Diego State,Mountain West,21,09/28/2024,27072
401644746,7,regular,FALSE,TRUE,Kelly/Shorts Stadium,Central Michigan,Mid-American,25,Ohio,Mid-American,27,10/12/2024,22437
401644750,8,regular,FALSE,TRUE,Rynearson Stadium,Eastern Michigan,Mid-American,38,Central Michigan,Mid-American,34,10/19/2024,17975
401644687,9,regular,FALSE,TRUE,Yager Stadium,Miami (OH),Mid-American,46,Central Michigan,Mid-American,7,10/26/2024,10661
401644765,12,regular,FALSE,TRUE,Glass Bowl,Toledo,Mid-American,37,Central Michigan,Mid-American,10,11/12/2024,14661
401644770,13,regular,FALSE,TRUE,Kelly/Shorts Stadium,Central Michigan,Mid-American,16,Western Michigan,Mid-American,14,11/19/2024,13102
401644779,14,regular,FALSE,TRUE,Huskie Stadium,Northern Illinois,Mid-American,24,Central Michigan,Mid-American,16,11/30/2024,5843
401643774,1,regular,FALSE,FALSE,Jerry Richardson Stadium,Charlotte,American Athletic,7,James Madison,Sun Belt,30,08/31/2024,15614
401635537,2,regular,FALSE,FALSE,Kenan Stadium,North Carolina,ACC,38,Charlotte,American Athletic,20,09/07/2024,48431
401645327,3,regular,FALSE,FALSE,Jerry Richardson Stadium,Charlotte,American Athletic,27,Gardner-Webb,Big South-OVC,26,09/14/2024,16715
401628486,4,regular,FALSE,FALSE,"Memorial Stadium (Bloomington, IN)",Indiana,Big Ten,52,Charlotte,American Athletic,14,09/21/2024,43109
401645333,5,regular,FALSE,TRUE,Rice Stadium,Rice,American Athletic,20,Charlotte,American Athletic,21,09/28/2024,17455
401645340,6,regular,FALSE,TRUE,Jerry Richardson Stadium,Charlotte,American Athletic,55,East Carolina,American Athletic,24,10/05/2024,17102
401645347,8,regular,FALSE,TRUE,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,51,Charlotte,American Athletic,17,10/19/2024,35094
401645353,9,regular,FALSE,TRUE,Simmons Bank Liberty Stadium,Memphis,American Athletic,33,Charlotte,American Athletic,28,10/26/2024,25478
401645356,10,regular,FALSE,TRUE,Jerry Richardson Stadium,Charlotte,American Athletic,3,Tulane,American Athletic,34,10/31/2024,12268
401645368,12,regular,FALSE,TRUE,Jerry Richardson Stadium,Charlotte,American Athletic,24,South Florida,American Athletic,59,11/16/2024,15030
401645371,13,regular,FALSE,TRUE,FAU Stadium,Florida Atlantic,American Athletic,27,Charlotte,American Athletic,39,11/23/2024,15066
401645377,14,regular,FALSE,TRUE,Jerry Richardson Stadium,Charlotte,American Athletic,29,UAB,American Athletic,27,11/30/2024,8091
401640998,1,regular,FALSE,FALSE,AmFirst Stadium,Jacksonville State,Conference USA,27,Coastal Carolina,Sun Belt,55,08/29/2024,18977
401628603,2,regular,FALSE,FALSE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,40,William & Mary,CAA,21,09/07/2024,19294
401643786,3,regular,FALSE,FALSE,Lincoln Financial Field,Temple,American Athletic,20,Coastal Carolina,Sun Belt,28,09/14/2024,13945
401635558,4,regular,FALSE,FALSE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,24,Virginia,ACC,43,09/21/2024,22104
401643798,6,regular,FALSE,TRUE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,45,Old Dominion,Sun Belt,37,10/05/2024,18552
401643803,7,regular,FALSE,TRUE,Bridgeforth Stadium,James Madison,Sun Belt,39,Coastal Carolina,Sun Belt,7,10/10/2024,25622
401643811,8,regular,FALSE,TRUE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,24,Louisiana,Sun Belt,34,10/19/2024,17812
401643824,10,regular,FALSE,TRUE,Veterans Memorial Stadium (AL),Troy,Sun Belt,38,Coastal Carolina,Sun Belt,24,11/02/2024,24223
401643832,12,regular,FALSE,TRUE,Joan C. Edwards Stadium,Marshall,Sun Belt,31,Coastal Carolina,Sun Belt,19,11/16/2024,24175
401643837,13,regular,FALSE,TRUE,Brooks Stadium (SC),Coastal Carolina,Sun Belt,6,Georgia Southern,Sun Belt,26,11/23/2024,14556
401643845,14,regular,FALSE,TRUE,Center Parc Stadium,Georgia State,Sun Belt,27,Coastal Carolina,Sun Belt,48,11/30/2024,12606
401677085,1,postseason,FALSE,FALSE,Brooks Stadium (SC),UTSA,American Athletic,44,Coastal Carolina,Sun Belt,15,12/23/2024,8164
401628331,1,regular,FALSE,FALSE,DKR-Texas Memorial Stadium,Texas,SEC,52,Colorado State,Mountain West,0,08/31/2024,99171
401643706,2,regular,FALSE,FALSE,Canvas Stadium,Colorado State,Mountain West,38,Northern Colorado,Big Sky,17,09/07/2024,36573
401636861,3,regular,FALSE,FALSE,Canvas Stadium,Colorado State,Mountain West,9,Colorado,Big 12,28,09/14/2024,40099
401641028,4,regular,FALSE,FALSE,Canvas Stadium,Colorado State,Mountain West,27,UTEP,Conference USA,17,09/21/2024,29151
401643724,6,regular,FALSE,FALSE,Reser Stadium,Oregon State,Pac-12,39,Colorado State,Mountain West,31,10/05/2024,36433
